@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data

7, 11, 9, 5, 3, 12, 10, 13, 12, North, -1, -2, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -2, -3, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -3, -4, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -4, -5, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -5, -6, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -6, -7, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -7, -8, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -8, -9, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -9, -10, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -10, -11, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -11, -12, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -12, -13, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -13, -14, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -14, -15, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -15, -16, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -16, -17, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -17, -18, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -18, -19, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -19, -20, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -20, -21, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -21, -22, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -22, -23, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -23, -24, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -24, -25, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -25, -26, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -26, -27, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -27, -28, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -28, -29, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -29, -30, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -30, -31, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -31, -32, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -32, -33, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -33, -34, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -34, -35, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -35, -36, Stop
