2, [12, 10, 10, 5],[False, True, True, True, True]
2, [11, 9, 9, 4],[False, True, True, True, True]
2, [10, 8, 8, 3],[False, True, True, True, True]
2, [9, 7, 7, 2],[False, True, True, True, True]
3, [8, 6, 6, 1],[False, True, True, True, True]
3, [7, 5, 5, None],[False, True, True, True, False]
2, [6, 4, 4, None],[False, True, True, True, False]
2, [5, 3, 3, None],[False, True, True, True, False]
2, [4, 2, 2, None],[False, True, True, True, False]
2, [3, 1, 3, None],[False, True, True, True, False]
2, [2, None, 4, None],[False, True, False, True, False]
3, [1, None, 3, None],[False, True, False, True, False]
4, [None, None, 2, None],[False, False, False, True, False]
4, [None, None, 1, None],[False, False, False, True, False]
4, [None, None, None, None],[False, False, False, False, False]
2, [12, 10, 10, 5],[False, True, True, True, True]
2, [11, 9, 9, 4],[False, True, True, True, True]
2, [10, 8, 8, 3],[False, True, True, True, True]
2, [9, 7, 7, 2],[False, True, True, True, True]
3, [8, 6, 6, 1],[False, True, True, True, True]
3, [7, 5, 5, None],[False, True, True, True, False]
2, [6, 4, 4, None],[False, True, True, True, False]
2, [5, 3, 3, None],[False, True, True, True, False]
2, [4, 2, 2, None],[False, True, True, True, False]
2, [3, 1, 3, None],[False, True, True, True, False]
2, [2, None, 4, None],[False, True, False, True, False]
3, [1, None, 3, None],[False, True, False, True, False]
4, [None, None, 2, None],[False, False, False, True, False]
4, [None, None, 1, None],[False, False, False, True, False]
4, [None, None, None, None],[False, False, False, False, False]
2, [12, 10, 10, 5],[False, True, True, True, True]
2, [11, 9, 9, 4],[False, True, True, True, True]
2, [10, 8, 8, 3],[False, True, True, True, True]
2, [9, 7, 7, 2],[False, True, True, True, True]
3, [8, 6, 6, 1],[False, True, True, True, True]
3, [7, 5, 5, None],[False, True, True, True, False]
2, [6, 4, 4, None],[False, True, True, True, False]
2, [5, 3, 3, None],[False, True, True, True, False]
2, [4, 2, 2, None],[False, True, True, True, False]
2, [3, 1, 3, None],[False, True, True, True, False]
2, [2, None, 4, None],[False, True, False, True, False]
3, [1, None, 3, None],[False, True, False, True, False]
4, [None, None, 2, None],[False, False, False, True, False]
4, [None, None, 1, None],[False, False, False, True, False]
4, [None, None, None, None],[False, False, False, False, False]
