@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data

0, 16, 13, 12, 15, 14, 3, 14, 15, North, -1, -2, Stop
0, 15, 14, 13, 15, 14, 3, 14, 16, North, -2, -3, Stop
0, 17, 15, 15, 13, 15, 3, 16, 15, North, -3, -4, East
0, 15, 13, 14, 12, 15, 4, 16, 15, North, -4, -5, North
0, 14, 13, 13, 10, 15, 5, 15, 15, North, -5, -6, North
0, 15, 13, 13, 12, 16, 5, 14, 15, North, -6, -7, East
0, 17, 13, 15, 13, 17, 5, 14, 15, North, -7, -8, East
0, 18, 15, 17, 14, 18, 5, 14, 15, North, -8, -9, East
0, 17, 15, 15, 12, 18, 6, 15, 15, North, -9, -10, North
0, 15, 14, 15, 12, 18, 7, 14, 15, North, -10, -11, North
0, 14, 12, 15, 11, 18, 8, 14, 15, North, -11, -12, North
0, 14, 12, 15, 11, 17, 8, 14, 16, North, -12, -13, West
0, 12, 10, 15, 9, 16, 8, 14, 15, North, -13, -14, West
0, 11, 8, 13, 9, 15, 8, 14, 15, North, -14, -15, West
0, 11, 7, 13, 9, 15, 9, 14, 15, North, -15, -16, North
0, 9, 7, 13, 8, 15, 10, 14, 16, North, -16, -17, North
0, 8, 7, 13, 8, 15, 11, 14, 17, North, -17, -18, North
0, 8, 7, 13, 10, 16, 11, 14, 16, North, -18, -19, East
0, 9, 9, 15, 12, 17, 11, 12, 15, West, -19, -20, East
0, 11, 11, 16, 14, 18, 11, 11, 15, West, -20, -21, East
0, 12, 13, 16, 14, 19, 11, 11, 15, West, -21, -22, East
0, 11, 13, 15, 14, 19, 12, 11, 15, West, -22, -23, North
0, 9, 11, 15, 12, 19, 13, 12, 15, West, -23, -24, North
0, 9, 11, 14, 10, 19, 14, 11, 15, West, -24, -25, North
0, 9, 10, 12, 10, 19, 15, 10, 15, West, -25, -26, North
0, 9, 9, 12, 9, 19, 16, 11, 15, West, -26, -27, North
0, 10, 9, 11, 8, 19, 17, 12, 18, West, -27, -28, North
0, 8, 8, 11, 8, 18, 17, 12, 15, West, -28, -29, West
0, 8, 7, 11, 6, 17, 17, 12, 18, West, -29, -30, West
0, 7, 6, 9, 6, 16, 17, 12, 19, West, -30, -31, West
0, 7, 6, 7, 5, 15, 17, 12, 19, West, -31, -32, West
0, 5, 4, 7, 5, 14, 17, 12, 19, West, -32, -33, West
0, 3, 3, 5, 3, 13, 17, 12, 15, South, -33, -34, West
0, 2, 3, 5, 1, 12, 17, 12, 18, North, -34, 165, West
0, 3, 2, 5, 0, 12, 18, 12, 20, North, 165, 164, North
0, 5, 2, 5, 0, 12, 19, 11, 20, West, 164, 163, North
0, 5, 2, 6, 0, 12, 20, 10, 20, West, 163, 362, North
0, 7, 0, 4, 0, 11, 20, 10, 17, South, 362, 361, West
0, 9, 0, 3, 0, 10, 20, 10, 17, South, 361, 360, West
0, 7, 0, 5, 0, 11, 20, 9, 17, South, 360, 359, East
0, 5, 0, 7, 0, 12, 20, 13, 16, South, 359, 358, East
0, 5, 0, 7, 0, 12, 19, 13, 15, South, 358, 357, South
0, 3, 0, 7, 0, 12, 18, 12, 15, South, 357, 356, South
0, 2, 0, 7, 0, 12, 17, 12, 15, South, 356, 355, South
0, 4, 0, 9, 0, 13, 17, 11, 15, West, 355, 354, East
0, 4, 0, 7, 0, 13, 16, 10, 15, West, 354, 353, South
0, 3, 0, 7, 0, 13, 15, 10, 15, West, 353, 352, South
0, 1, 0, 7, 0, 12, 15, 11, 15, West, 352, 551, West
0, 0, 0, 7, 0, 11, 15, 4, 15, West, 551, 550, West
0, 0, 0, 8, 0, 12, 15, 4, 15, West, 550, 549, East
0, 0, 0, 10, 0, 13, 15, 3, 15, West, 549, 548, East
0, 0, 0, 11, 0, 14, 15, 3, 15, West, 548, 547, East
0, 0, 0, 11, 0, 14, 16, 4, 15, West, 547, 546, North
0, 0, 0, 12, 0, 14, 17, 4, 15, West, 546, 545, North
0, 0, 0, 10, 0, 13, 17, 5, 15, West, 545, 544, West
0, 0, 0, 10, 0, 12, 17, 4, 15, West, 544, 543, West
0, 0, 0, 9, 0, 11, 17, 4, 15, West, 543, 542, West
0, 0, 0, 8, 0, 10, 17, 4, 15, West, 542, 541, West
0, 0, 0, 7, 0, 9, 17, 4, 15, West, 541, 540, West
0, 0, 0, 7, 0, 8, 17, 3, 15, West, 540, 539, West
0, 0, 0, 7, 0, 8, 16, 2, 15, West, 539, 538, South
0, 0, 0, 5, 0, 8, 15, 3, 15, West, 538, 537, South
0, 0, 0, 3, 0, 7, 15, 4, 15, West, 537, 536, West
0, 0, 0, 2, 0, 6, 15, 4, 15, West, 536, 535, West
0, 0, 0, 1, 0, 5, 15, 4, 15, West, 535, 734, West
0, 0, 0, 0, 0, 4, 15, 1, 1, South, 734, 734, West

1, 7, 6, 7, 8, 9, 1, 9, 7, North, -1, -2, Stop
1, 8, 7, 6, 8, 9, 1, 9, 7, North, -2, 97, Stop
1, 9, 8, 7, 6, 10, 1, 10, 7, North, 97, 196, East
1, 10, 10, 7, 8, 11, 1, 10, 7, North, 196, 295, East
1, 11, 11, 7, 9, 12, 1, 11, 7, North, 295, 394, East
1, 11, 12, 9, 9, 13, 1, 10, 7, North, 394, 493, East
1, 10, 11, 9, 9, 13, 2, 9, 7, North, 493, 592, North
1, 8, 10, 8, 9, 13, 3, 9, 7, West, 592, 691, North
1, 8, 9, 7, 7, 13, 4, 9, 7, West, 691, 790, North
1, 6, 7, 5, 6, 13, 5, 10, 7, West, 790, 889, North
1, 6, 7, 4, 5, 13, 6, 10, 7, West, 889, 988, North
1, 5, 5, 3, 4, 13, 7, 10, 7, West, 988, 1087, North
1, 3, 6, 3, 6, 13, 8, 10, 8, West, 1087, 1186, North
1, 4, 6, 5, 6, 13, 9, 10, 8, West, 1186, 1285, North
1, 6, 6, 5, 7, 13, 10, 10, 8, West, 1285, 1384, North
1, 7, 6, 5, 8, 13, 11, 10, 9, West, 1384, 1483, North
1, 5, 5, 5, 6, 12, 11, 11, 7, South, 1483, 1582, West
1, 4, 5, 4, 4, 11, 11, 11, 7, South, 1582, 1681, West
1, 5, 3, 3, 2, 10, 11, 10, 9, South, 1681, 1980, West
1, 3, 3, 1, 0, 10, 10, 9, 10, West, 1980, 2079, South
1, 2, 1, 3, 0, 10, 9, 9, 9, West, 2079, 2278, South
2, 0, 1, 5, 0, 10, 8, 9, 8, West, 2278, 2277, South
3, 0, 1, 6, 9, 10, 7, 9, 7, West, 2277, 2276, South
2, 13, 1, 5, 8, 9, 7, 9, 8, North, 2276, 2475, West
1, 0, 0, 4, 9, 9, 8, 8, 11, North, 2475, 2574, North
1, 0, 0, 4, 10, 9, 9, 7, 11, West, 2574, 2673, North
1, 0, 0, 4, 0, 9, 10, 6, 11, West, 2673, 2772, North
1, 0, 0, 3, 0, 9, 11, 6, 11, West, 2772, 2871, North
1, 0, 0, 2, 0, 8, 11, 6, 11, West, 2871, 2970, West
1, 0, 0, 1, 10, 7, 11, 6, 11, West, 2970, 3069, West

1, 7, 6, 7, 8, 9, 1, 9, 7, North, -1, -2, Stop
1, 7, 6, 7, 8, 9, 1, 9, 7, North, -2, 97, Stop
1, 8, 7, 6, 7, 10, 1, 10, 7, North, 97, 196, East
1, 9, 8, 7, 6, 11, 1, 11, 7, North, 196, 295, East
1, 10, 9, 8, 7, 12, 1, 11, 7, North, 295, 394, East
1, 11, 10, 9, 8, 13, 1, 11, 7, North, 394, 493, East
