@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data

0, 17, 14, 13, 14, 15, 3, 14, 15, North, -1, -2, East
0, 18, 15, 14, 13, 16, 3, 17, 15, North, -2, -3, East
0, 19, 16, 15, 12, 17, 3, 17, 15, North, -3, -4, East
0, 20, 17, 16, 13, 18, 3, 17, 15, North, -4, -5, East
0, 21, 18, 17, 14, 19, 3, 17, 15, North, -5, -6, East
0, 22, 19, 18, 15, 20, 3, 17, 15, North, -6, -7, East
0, 21, 18, 17, 14, 19, 3, 17, 15, North, -7, -8, West
0, 20, 17, 16, 13, 18, 3, 17, 15, North, -8, -9, West
0, 19, 16, 15, 12, 17, 3, 17, 15, North, -9, -10, West
0, 18, 15, 14, 13, 16, 3, 17, 15, North, -10, -11, West
0, 17, 14, 13, 14, 15, 3, 14, 15, North, -11, -12, West
0, 16, 13, 12, 13, 15, 4, 14, 15, North, -12, -13, North
0, 15, 12, 11, 12, 15, 5, 14, 15, North, -13, -14, North
0, 16, 13, 12, 11, 16, 5, 17, 15, North, -14, -15, East
0, 17, 14, 13, 10, 17, 5, 17, 15, North, -15, -16, East
0, 18, 15, 14, 11, 18, 5, 17, 15, North, -16, -17, East
0, 17, 14, 13, 10, 18, 6, 17, 15, North, -17, -18, North
0, 16, 13, 12, 9, 18, 7, 17, 15, North, -18, -19, North
0, 15, 12, 11, 8, 18, 8, 17, 15, North, -19, -20, North
0, 14, 11, 10, 7, 17, 8, 17, 15, North, -20, -21, West
